time:394286, score:-437.000000, speed:-0.895701
time:395293, score:-439.000000, speed:-0.994629
time:396299, score:-438.000000, speed:-0.895433
time:397303, score:-437.000000, speed:-0.895255
time:398312, score:-438.000000, speed:-0.795545
time:399320, score:-440.000000, speed:-0.994036
time:400323, score:-443.000000, speed:-1.093657
time:401330, score:-443.000000, speed:-0.894721
time:402338, score:-446.000000, speed:-1.092896
time:403342, score:-446.000000, speed:-1.192724
time:404344, score:-445.000000, speed:-0.795387
time:405346, score:-447.000000, speed:-0.795782
time:406356, score:-446.000000, speed:-0.795466
time:407361, score:-448.000000, speed:-1.093548
time:408369, score:-449.000000, speed:-1.093766
time:409373, score:-447.000000, speed:-0.696310
time:410376, score:-449.000000, speed:-0.596837
time:411380, score:-450.000000, speed:-0.696587
time:412382, score:-452.000000, speed:-0.597372
time:413388, score:-451.000000, speed:-0.497711
time:414396, score:-450.000000, speed:-0.497413
time:415400, score:-452.000000, speed:-0.497315
time:416405, score:-453.000000, speed:-0.696587
time:417414, score:-455.000000, speed:-0.696310
time:418418, score:-454.000000, speed:-0.497562
time:419422, score:-453.000000, speed:-0.597074
time:420424, score:-454.000000, speed:-0.497661
time:421429, score:-454.000000, speed:-0.398010
time:422437, score:-451.000000, speed:0.099463
time:423442, score:-452.000000, speed:-0.099463
time:424448, score:-453.000000, speed:-0.298418
time:425453, score:-455.000000, speed:-0.298418
time:426454, score:-454.000000, speed:-0.099512
time:427458, score:-453.000000, speed:0.199124
time:428462, score:-452.000000, speed:0.199144
time:429470, score:-454.000000, speed:-0.099522
time:430473, score:-456.000000, speed:-0.199005
time:431481, score:-456.000000, speed:-0.198965
time:432486, score:-458.000000, speed:-0.696517
time:433488, score:-460.000000, speed:-0.796337
time:434495, score:-459.000000, speed:-0.597193
time:435499, score:-457.000000, speed:-0.199084
time:436500, score:-455.000000, speed:-0.099542
time:437503, score:-453.000000, speed:0.000000
time:438505, score:-455.000000, speed:-0.298686
time:439512, score:-454.000000, speed:0.000000
time:440520, score:-453.000000, speed:0.298626
time:441527, score:-453.000000, speed:0.298626
time:442536, score:-455.000000, speed:0.298537
time:443539, score:-455.000000, speed:0.497463
time:444543, score:-455.000000, speed:0.398089
time:445550, score:-455.000000, speed:0.198985
time:446551, score:-457.000000, speed:-0.198985
time:447553, score:-459.000000, speed:-0.597015
time:448557, score:-460.000000, speed:-0.497463
time:449565, score:-459.000000, speed:-0.497364
time:450573, score:-456.000000, speed:-0.298389
time:451578, score:-455.000000, speed:-0.198985
time:452581, score:-456.000000, speed:-0.099552
time:453887, score:-459.000000, speed:-0.386548
time:454890, score:-461.000000, speed:-0.579878
time:455892, score:-463.000000, speed:-0.773545
time:456898, score:-466.000000, speed:-0.869817
time:457905, score:-466.000000, speed:-0.676198
time:458909, score:-467.000000, speed:-0.676133
time:459917, score:-467.000000, speed:-0.772798
time:460918, score:-469.000000, speed:-1.256646
time:461921, score:-470.000000, speed:-1.450256
time:462924, score:-470.000000, speed:-1.353442
time:463932, score:-470.000000, speed:-1.095181
time:464939, score:-468.000000, speed:-0.696587
time:465942, score:-470.000000, speed:-0.696587
time:466946, score:-471.000000, speed:-0.497611
time:467950, score:-471.000000, speed:-0.497760
time:468952, score:-470.000000, speed:-0.298716
time:469956, score:-469.000000, speed:-0.199203
time:470964, score:-469.000000, speed:0.000000
time:471966, score:-471.000000, speed:-0.099562
time:472967, score:-473.000000, speed:-0.298716
time:473971, score:-471.000000, speed:-0.099602
time:474976, score:-473.000000, speed:-0.498157
time:475981, score:-475.000000, speed:-0.498008
time:476984, score:-477.000000, speed:-0.597729
time:477985, score:-479.000000, speed:-0.797210
time:478989, score:-480.000000, speed:-0.996314
time:479992, score:-480.000000, speed:-1.096163
time:480999, score:-481.000000, speed:-1.195934
time:481999, score:-478.000000, speed:-0.697628
